   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   233.000 MeV  1.3755E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   234.000 MeV  1.3711E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   235.000 MeV  1.3668E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   236.000 MeV  1.3625E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   237.000 MeV  1.3582E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   238.000 MeV  1.3540E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   239.000 MeV  1.3498E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   240.000 MeV  1.3456E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   241.000 MeV  1.3415E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   242.000 MeV  1.3374E-02  0.0000E+00     1.000 mm     0.00 um     0.00 um  
