   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   231.000 MeV  2.9679E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   232.000 MeV  2.9574E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   233.000 MeV  2.9469E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   234.000 MeV  2.9365E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   235.000 MeV  2.9262E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   236.000 MeV  2.9159E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   237.000 MeV  2.9058E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   238.000 MeV  2.8957E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   239.000 MeV  2.8857E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   240.000 MeV  2.8758E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   241.000 MeV  2.8660E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
   242.000 MeV  2.8562E-01  0.0000E+00     1.000 mm     0.00 um     0.00 um  
