pad,x,y
858,157.064,22.8395
860,166.88,22.8395
861,171.788,19.8703
862,176.697,22.8395
863,181.605,19.8703
864,186.513,22.8395
865,191.421,19.8703
866,196.329,22.8395
867,201.238,19.8703
868,206.146,22.8395
879,260.136,19.8703
883,-265.045,28.3716
884,-260.136,31.3408
895,-206.146,28.3716
899,-186.513,28.3716
903,-166.88,28.3716
904,-161.972,31.3408
905,-157.064,28.3716
906,-152.155,31.3408
907,-147.247,28.3716
908,-142.339,31.3408
909,-139.885,26.9547
910,-137.431,28.3038
911,-137.431,31.2053
912,-134.976,26.9547
913,-134.976,32.5545
914,-132.522,31.2053
915,-132.522,28.3038
916,-130.068,32.5545
917,-130.068,26.9547
918,-127.614,28.3038
919,-127.614,31.2053
920,-125.16,26.9547
921,-125.16,32.5545
922,-122.706,31.2053
923,-122.706,28.3038
924,-120.252,32.5545
925,-120.252,26.9547
926,-117.798,28.3038
928,-115.344,26.9547
929,-115.344,32.5545
930,-112.889,31.2053
932,-110.435,32.5545
933,-110.435,26.9547
934,-107.981,28.3038
935,-107.981,31.2053
936,-105.527,26.9547
937,-105.527,32.5545
938,-103.073,31.2053
939,-103.073,28.3038
940,-100.619,32.5545
941,-100.619,26.9547
942,-98.1647,28.3038
943,-98.1647,31.2053
944,-95.7106,26.9547
945,-95.7106,32.5545
946,-93.2565,31.2053
947,-93.2565,28.3038
948,-90.8024,32.5545
949,-90.8024,26.9547
950,-88.3482,28.3038
951,-88.3482,31.2053
952,-85.8941,26.9547
953,-85.8941,32.5545
954,-83.44,31.2053
955,-83.44,28.3038
956,-80.9859,32.5545
957,-80.9859,26.9547
958,-78.5318,28.3038
959,-78.5318,31.2053
960,-76.0777,26.9547
961,-76.0777,32.5545
962,-73.6235,31.2053
963,-73.6235,28.3038
964,-71.1694,32.5545
965,-71.1694,26.9547
966,-68.7153,28.3038
967,-68.7153,31.2053
968,-66.2612,26.9547
969,-66.2612,32.5545
970,-63.8071,31.2053
971,-63.8071,28.3038
972,-61.353,32.5545
973,-61.353,26.9547
974,-58.8988,28.3038
975,-58.8988,31.2053
976,-56.4447,26.9547
977,-56.4447,32.5545
978,-53.9906,31.2053
979,-53.9906,28.3038
980,-51.5365,32.5545
981,-51.5365,26.9547
982,-49.0824,28.3038
983,-49.0824,31.2053
984,-46.6282,26.9547
985,-46.6282,32.5545
986,-44.1741,31.2053
987,-44.1741,28.3038
988,-41.72,32.5545
989,-41.72,26.9547
990,-39.2659,28.3038
991,-39.2659,31.2053
992,-36.8118,26.9547
993,-36.8118,32.5545
994,-34.3577,31.2053
995,-34.3577,28.3038
996,-31.9035,32.5545
997,-31.9035,26.9547
998,-29.4494,28.3038
999,-29.4494,31.2053
1000,-26.9953,26.9547
1001,-26.9953,32.5545
1002,-24.5412,31.2053
1003,-24.5412,28.3038
1004,-22.0871,32.5545
1005,-22.0871,26.9547
1006,-19.6329,28.3038
1007,-19.6329,31.2053
1008,-17.1788,26.9547
1009,-17.1788,32.5545
1010,-14.7247,31.2053
1011,-14.7247,28.3038
1012,-12.2706,32.5545
1013,-12.2706,26.9547
1014,-9.81648,28.3038
1015,-9.81648,31.2053
1016,-7.36236,26.9547
1017,-7.36237,32.5545
1018,-4.90825,31.2053
1019,-4.90825,28.3038
1020,-2.45413,32.5545
1021,-2.45413,26.9547
1022,-1.33514e-05,28.3038
1023,-1.33514e-05,31.2053
1024,2.4541,26.9547
1025,2.45413,32.5545
1026,4.90825,31.2053
1027,4.90825,28.3038
1028,7.36237,32.5545
1029,7.36237,26.9547
